,OIRS.IRS.AUS.A,OIRS.IRS.CAN.A,OIRS.IRS.FRA.A,OIRS.IRS.ITA.A,OIRS.IRS.ESP.A,OIRS.IRS.GBR.A,OIRS.IRS.USA.A
,Interest rate spread: Australia,Interest rate spread: Canada,Interest rate spread: France,Interest rate spread: Italy,Interest rate spread: Spain,Interest rate spread: United Kingdom,Interest rate spread: United States
2007,0.71,1.4,,0.60,0.63,,
2008,1.70,,5.42,1.00,1.21,1.05,
2009,1.66,3.10,2.86,1.40,1.47,1.12,
2010,1.38,3.20,2.48,1.60,1.21,1.39,
2011,1.28,2.30,3.11,1.60,1.59,1.27,
2012,1.62,2.40,2.43,2.00,2.30,1.30,
2013,1.77,2.60,2.16,2.00,2.10,1.40,
2014,1.67,2.10,2.08,1.90,1.87,0.98,
2015,1.73,2.30,1.78,1.90,1.04,1.22,
2016,1.86,2.60,1.50,1.50,0.88,0.62,
2017,1.85,2.30,1.40,1.20,0.59,0.73,
2018,1.61,2.06,1.48,1.30,0.20,0.74,
2019,1.70,1.70,1.40,1.70,0.56,0.77,
2020,1.77,2.03,1.00,0.80,0.32,0.28,
2021,1.60,1.64,1.26,1.20,0.52,0.33,
2022,0.98,2.10,1.90,2.00,0.20,0.68,
2023,0.72,2.06,4.2,1.3,0.23,0.66,
2024,0.76,0.51,4.26,1.3,0.04,0.61,
