"0-Outstanding business
loans, SMEs",1-CAD billion,2-83.4,3-83.4,4-86.4,5-85.7,6-89.1,7-87.2,8-91.1,9-94.0,10-96.1,11-99.2,12-102.5,13-105.1
"Outstanding business
loans, total",CAD billion,479.8,534.0,482.3,489.5,503.2,548.0,592.6,642.9,716.2,772.4,823.7,897.5
"Share of SME
outstanding loans","% of total
outstanding business
loans",17.39,15.61,17.92,17.50,17.71,15.90,15.38,14.62,13.42,12.84,12.45,11.71
"New business lending,
total",CAD billion,..,..,..,..,126.2,141.6,151.0,168.7,188.4,204.0,233.9,269.7
"New business lending,
SMEs",CAD billion,..,..,..,..,20.2,21.7,22.8,23.2,24.0,22.8,25.2,27.2
"Share of new SME
lending","% of total new
lending",..,..,..,..,15.99,15.30,15.10,13.74,12.73,11.16,10.78,10.1
"Outstanding short-term
loans, SMEs",CAD billion,15.1,..,,,6.9,..,..,15.6,..,..,24.2,..
"Outstanding long-term
loans, SMEs",CAD billion,21.1,..,..,..,12.8,..,..,12.4,..,..,32.4,..
"Share of short-term
SME lending","% of total SME
lending",41.62,..,43.40,36.30,35.13,39.00,46.00,55.71,47.20,36.20,42.8,30.10
"Government loan
guarantees, SMEs",CAD billion,1.20,1.30,1.20,1.30,1.30,1.10,1.10,1.50,1.20,1.3,1.4,1.8
"Direct government
loans, SMEs",CAD billion,4.40,4.10,5.50,4.70,6.00,5.80,4.60,6.50,6.70,7.9,8.0,8.4
"Interest rate, SMEs",%,7.50,..,6.20,5.80,5.30,5.40,5.60,5.10,5.10,5.30,5.20,5.70
"Interest rate, large firms",%,6.10,..,3.10,2.60,3.00,3.00,3.00,3.00,2.80,2.70,2.90,3.64
Interest rate spread,% points,1.40,..,3.10,3.20,2.30,2.40,2.60,2.10,2.30,2.60,2.30,2.06
"Collateral, SMEs","% of SMEs needing
collateral to obtain
bank lending",47.7,..,56.1,66.7,64.8,76.0,56.0,66.6,80.0,74.0,64.1,70.0
"Percentage of SME
loan applications","SME loan
applications/ total
number of SMEs",17.0,..,14.0,18.0,24.0,26.0,30.0,27.0,23.0,26.0,26.0,27.0
Rejection rate,"1-(SME loans
authorised/ requested)",..,..,..,9.0,8.0,7.0,9.0,12.8,7.0,9.0,9.5,9.0
