Col0,Col1,Col2,Col3,Col4,Debt,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13
"Outstanding business
loans, SMEs",EUR Billion,180.5,189.1,189.6,199.7,210.3,214.0,216.5,219.2,224.2,232.8,243.7,254.1
"Outstanding business
loans, total",EUR Billion,868.5,927.1,938.4,974.0,1012.2,1009.6,1025.9,1036.0,1078.2,1130.0,1193.7,1257.2
"Share of SME
outstanding loans","% of total
outstanding
business loans",20.78,20.40,20.21,20.50,20.77,21.20,21.11,21.16,20.80,20.60,20.41,20.21
"New business lending,
total",EUR Billion,86.4,67.6,-9.5,9.1,34.6,7.8,1.6,18.9,35.0,43.8,56.1,58.7
"Outstanding short-term
loans, SMEs",EUR Billion,43.1,42.7,37.5,38.1,40.3,41.1,42.8,43.3,43.5,43.9,44.7,44.9
"Outstanding long-term
loans, SMEs",EUR Billion,115.2,123.3,127.8,134.4,142.6,146.5,146.3,148.6,151.9,158.6,166.7,175.8
"Share of short-term
SME lending","% of total SME
lending",27.20,25.70,22.70,22.09,22.05,21.91,22.65,22.55,22.27,21.66,21.15,20.33
"Government loan
guarantees, SMEs",EUR Billion,5.9,6.9,11.3,11.9,9.8,8.5,8.9,7.8,8.0,8.4,8.9,8.7
"Government
guaranteed loans,
SMEs",EUR Billion,2.7,3.2,5.8,5.3,4.2,4.2,4.4,4.8,5.0,5.2,5.1,3.7
"Non-performing loans,
total","% of all business
loans",3.70,3.66,4.71,4.56,3.96,4.06,4.25,4.14,4.05,3.90,3.62,3.28
"Interest rate, SMEs",%,5.10,5.42,2.86,2.48,3.11,2.43,2.16,2.08,1.78,1.50,1.40,1.48
"Interest rate, large firms",%,4.52,4.76,1.96,1.57,2.23,1.72,1.46,1.30,1.19,1.14,1.10,1.03
Interest rate spread,% points,0.58,0.66,0.90,0.91,0.89,0.71,0.70,0.78,0.59,0.35,0.30,0.45
"Collateral, SMEs","% of SMEs needing
collateral to obtain
bank lending",..,..,..,..,..,9.42,8.52,7.28,6.33,5.17,4.34,4.22
"Percentage of SME
loan applications","SME loan
applications/ total
number of SMEs",..,..,..,..,..,38.42,35.64,35.73,37.88,37.90,37.17,36.72
Rejection rate,"1-(SME loans
authorised/
requested)",..,..,..,..,..,11.12,8.00,6.61,7.55,6.21,5.14,4.36
Utilisation rate,"SME loans used/
authorised",87.69,87.77,87.17,86.37,87.03,87.64,87.32,87.49,87.17,86.98,86.76,86.85
