Col0,Col1,Col2,Col3,Col4,Debt,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13
"Outstanding
business loans,
SMEs",EUR billion,187,191,193,210,206,204,196,192,188,175,170,165
"Outstanding
business loans,
total",EUR billion,998,1067,1057,1122,1134,1118,1061,1025,1016,985,960,959
"Share of SME
outstanding loans","% of total business
loans",18.7,17.9,18.3,18.7,18.2,18.2,18.5,18.7,18.5,17.8,17.7,7.2
"Short-term loans,
SMEs",EUR billion,59,56,52,50,48,47,42,39,35,31,28,27
"Long-term loans,
SMEs",EUR billion,115,120,125,136,133,128,122,115,112,103,101,100
"Total short and
long-term loans,
SMEs",EUR billion,174,177,177,186,181,175,164,155,147,134,130,127
"Share of short-
term loans, SMEs","% of total short and
long-term SME
loans",34.0,31.9,29.3,26.9,26.4,26.6,25.7,25.3,23.8,22.9,22.0,21.3
"Direct
government
loans, SMEs",EUR million,337,373,255,276,272,252,390,597,392,418,431,684
"Government
guaranteed loans,
SMEs (CGF)","EUR million, flows",2 300,2 353,4 914,9 119,8 378,8 190,10 811,12 935,15 065,16 703,17 462,19 314
"Government loan
guarantees,
SMEs (CGF)","EUR million, flows",1 146,1 160,2 756,5 225,4 435,4 036,6 414,8 392,10 216,11 570,12 260,13 731
"Non-performing
loans, SMEs",EUR million,..,22 865,27 953,35 243,38 033,43 812,48 387,53 715,56 189,54 947,50 604,46 928
"Non-performing
loans, SMEs","% of total SME
loans",..,12.0,14.5,16.8,18.4,21.5,24.6,28.0,30.0,31.3,29.8,28.4
"Interest rate,
SMEs",%,6.3,6.3,3.6,3.7,5.0,5.6,5.4,4.4,3.8,3.2,3.1,3.1
"Interest rate,
large firms",%,5.7,4.9,2.2,2.2,3.3,3.8,3.4,2.6,2.1,1.8,1.8,1.8
"Interest rate
spread",%,0.6,1.4,1.4,1.5,1.7,1.8,2.0,1.8,1.7,1.4,1.3,1.3
"Collateral, SMEs",%,54,54,52,53,55,54,55,55,56,57,57,57
Rejection rate,"% of firms reporting
that they had not
obtained some or
all of the credit
requested",3.1,8.2,6.9,5.7,11.3,12.0,8.9,8.4,6.0,4.0,4.3,4.6
Utilisation rate,"SME loans used /
authorised",79.7,80.7,80.7,82.8,83.6,85.7,86.7,87.2,86.9,84.7,84.4,84.8
