Col0,Col1,Col2,Col3,Col4,Col5,Debt,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
"Outstanding
business loans,
SMEs",CAD billion,83.4,83.4,86.4,85.7,90.1,87.7,92.2,93.5,97.4,99.6,104.1,105.7,109.8,117.9
"Outstanding
business loans,
total",CAD billion,479.8,534.0,482.3,489.5,514.4,557.3,602.1,658.5,739.0,774.7,834.1,918.2,984.9,10007
"Share of SME
outstanding
loans","% of total
outstanding
business loans",17.39,15.61,17.92,17.50,17.52,15.75,15.31,14.20,13.18,12.86,12.49,11.51,11.15,11.71
"New business
lending, total",CAD billion,..,..,..,..,126.2,141.6,151.0,168.7,188.4,204.0,233.9,269.7,285.7,287.7
"New business
lending, SMEs",CAD billion,..,..,..,..,20.2,21.7,22.8,23.2,24.0,22.8,25.2,27.2,26.8,26.7
"Share of new
SME lending","% of total new
lending",..,..,..,..,15.99,15.30,15.10,13.74,12.73,11.16,10.78,10.08,9.39,9.30
"Outstanding
short-term loans,
SMEs",CAD billion,15.1,..,,,6.9,..,..,15.6,..,..,24.2,..,..,..
"Outstanding
long-term loans,
SMEs",CAD billion,21.1,..,..,..,12.8,..,..,12.4,..,..,32.4,..,..,..
"Share of short-
term SME
lending","% of total SME
lending",41.62,..,43.40,36.30,35.13,39.00,46.00,55.71,47.20,36.20,42.8,30.10,19.50,..
"Government
loan guarantees,
SMEs",CAD billion,1.20,1.30,1.20,1.30,1.30,1.08,1.06,1.01,1.11,1.30,1.54,1.75,1.89,3.28
"Direct
government
loans, SMEs",CAD billion,4.40,4.10,5.50,4.70,6.00,5.80,4.60,6.50,6.70,7.9,8.0,8.4,8.10,..
"Interest rate,
SMEs",%,7.50,..,6.20,5.80,5.30,5.40,5.60,5.10,5.10,5.30,5.20,5.70,5.30,..
"Interest rate,
large firms",%,6.10,..,3.10,2.60,3.00,3.00,3.00,3.00,2.80,2.70,2.90,3.64,3.60,2.70
"Interest rate
spread",% points,1.40,..,3.10,3.20,2.30,2.40,2.60,2.10,2.30,2.60,2.30,2.06,1.70,..
"Collateral, SMEs","% of SMEs
needing
collateral to
obtain bank
lending",47.7,..,56.1,66.7,64.8,76.0,56.0,66.6,80.0,74.0,64.1,70.0,72.73,..
"Percentage of
SME loan
applications","SME loan
applications/
total number of
SMEs",17.0,..,14.0,18.0,24.0,26.0,30.0,27.0,23.0,26.0,26.0,27.0,26.71,..
