"Outstanding
business loans,
SMEs",EUR Billion,199 590,210 186,213 930,216 473,219 505,224 774,233 279,243 926,254 074,264 399,336 440
"Outstanding
business loans,
total",EUR Billion,974 126,1 012 381,1 009 868,1 026 203,1 036 865,1 079 436,1 131 289,1 195 722,1 262 083,1 339 620,1 510 342
"Share of SME
outstanding loans","% of total
outstanding
business
loans",20.5,20.8,21.2,21.1,21.2,20.8,20.6,20.4,20.1,19.7,22.3
"New business
lending, total",EUR Billion,9 052,34 600,7 752,1 565,18 942,35 009,43 799,56 141,58 737,51 560,141 309
"Outstanding short-
term loans, SMEs",EUR Billion,38 085,40 329,41 069,42 779,43 249,43 481,43 852,44 701,44 859,44 454,99 998
"Outstanding long-
term loans, SMEs",EUR Billion,104 029,111 576,118 952,125 477,129 902,132 779,137 234,144 177,153 378,153 144,238 694
"Share of short-term
SME lending","% of total
SME lending",26.8,26.5,25.7,25.4,25.0,24.7,24.2,23.7,22.6,22.5,29.5
"Government loan
guarantees, SMEs",EUR Billion,11 883,9 826,8 465,8 925,7 800,8 000,8 400,8 900,8 700,8 500,6 200
"Government
guaranteed loans,
SMEs",EUR Billion,5 326,4 231,4 157,4 394,4 783,4 984,5 229,5 103,5 095,4 805,5 873
"Non-performing
loans, total","% of all
business
loans",4.6,4.0,4.1,4.3,4.1,4.0,3.9,3.6,3.3,2.5,2.4
"Interest rate, SMEs",%,2.5,3.1,2.4,2.2,2.1,1.8,1.5,1.4,1.5,1.4,1.0
"Interest rate, large
firms",%,1.6,2.2,1.7,1.5,1.3,1.2,1.1,1.1,1.0,0.9,0.7
Interest rate spread,% points,0.9,0.9,0.7,0.7,0.8,0.6,0.4,0.3,0.4,0.5,0.3
"Collateral, SMEs","% of SMEs
needing
collateral to
obtain bank
lending",,,9.4,8.5,7.3,6.3,5.2,4.3,4.2,3.8,3.6
"Percentage of SME
loan applications","SME loan
applications/
total number
of SMEs",,,38.4,35.6,35.7,37.9,37.9,37.2,36.7,36.3,39.3
Rejection rate,"1-(SME loans
authorised/
requested)",,,11.12,8.00,6.61,7.55,6.21,5.14,4.36,2.55,2.38
