Col0,Col1,Col2,Col3,Col4,Col5,Debt,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15
"Outstanding business
loans, SMEs",EUR billion,187,191,193,210,206,204,196,192,188,175,170,166,160,168
"Outstanding business
loans, total",EUR billion,998,1067,1057,1122,1134,1118,1061,1025,1016,985,960,961,931,984
"Share of SME
outstanding loans","% of total
business loans",18.7,17.9,18.3,18.7,18.2,18.2,18.5,18.7,18.5,17.8,17.7,17.3,17.2,17.1
"Short-term loans,
SMEs",EUR billion,59,56,52,50,48,47,42,39,35,31,28,27,26,19
"Long-term loans,
SMEs",EUR billion,115,120,125,136,133,128,122,115,112,103,101,100,97,114
"Total short and long-
term loans, SMEs",EUR billion,174,177,177,186,181,175,164,155,147,134,130,127,123,133
"Share of short-term
loans, SMEs","% of total short
and long-term
SME loans",34.0,31.9,29.3,26.9,26.4,26.6,25.7,25.3,23.8,22.9,22.0,21.3,21.0,14.0
"Direct government
loans, SMEs",EUR million,337,373,255,276,272,252,390,597,392,418,431,671,540,1 187
"Government
guaranteed loans,
SMEs (CGF)","EUR million,
flows",2 300,2 353,4 914,9 119,8 378,8 190,10 811,12 935,15 065,16 703,17 462,19 314,19 376,124 387
"Government loan
guarantees, SMEs
(CGF)","EUR million,
flows",1 146,1 160,2 756,5 225,4 435,4 036,6 414,8 392,10 216,11 570,12 260,13 731,13 342,105 921
"Non-performing loans,
SMEs",EUR million,..,22 866,27 953,35 247,38 042,43 814,48 384,53 726,56 199,54 959,50 614,47 422,45 583,42 468
"Non-performing loans,
SMEs","% of total SME
loans",..,12.0,14.5,16.8,18.4,21.5,24.6,28.0,30.0,31.4,29.9,28.6,28.4,25.2
"Interest rate, SMEs",%,6.3,6.3,3.6,3.7,5.0,5.6,5.4,4.4,3.8,3.2,3.1,3.1,3.4,2.4
"Interest rate, large
firms",%,5.7,4.9,2.2,2.2,3.3,3.8,3.4,2.6,2.1,1.8,1.8,1.8,1.7,1.6
Interest rate spread,%,0.6,1.4,1.4,1.5,1.7,1.8,2.0,1.8,1.7,1.4,1.3,1.3,1.7,0.8
"Collateral, SMEs",%,54,54,52,53,55,54,56,56,57,58,58,57,57,53
Rejection rate,"% of firms
reporting that
they had not
obtained some
or all of the
credit requested",3.1,8.2,6.9,5.7,11.3,12.0,8.9,8.4,6.0,4.0,4.2,4.6,4.1,6.1
Utilisation rate,"SME loans
used /
authorised",79.7,80.7,80.7,82.8,84.2,86.3,87.0,87.4,87.1,85.0,84.7,85.1,84.4,83.1
