"0-Outstanding
business loans,
SMEs",1-GBP billion,2-..,3-..,4-..,5-189,6-176,7-166,8-167,9-164,10-166,11-165,12-166,13-167,14-213
"Outstanding
business loans, total",GBP billion,..,..,..,504,472,448,435,430,449,466,467,489,530
"Share of SME
outstanding loans","% of total
outstanding
business
loans",..,..,..,37.5,37.3,37.1,38.4,38.3,36.9,35.5,34.8,34.2,40.2
"New business
lending, total",GBP billion,..,..,..,..,146,163,190,205,234,259,273,258,325
"New business
lending, SMEs",GBP billion,..,..,..,,38,43,53,58,59,57,58,57,104
"Share of new SME
lending","% of total
new lending",..,..,..,,26.1,26.4,28.2,28.2,25.3,22.2,21.1,22,32
"Government loan
guarantees, SMEs",GBP million,..,61,52,32,43,51,45,34,31,32,30,30,57 612
"Government
guaranteed loans,
SMEs",GBP million,..,626,529,326,288,337,298,226,207,216,199,203,61 191
"Direct government
loans, SMEs",GBP million,..,..,..,..,0.8,60.6,70.7,62.0,82.6,106.8,85.5,89.8,126.4
"Interest rate, SMEs",%,4.54,3.47,3.49,3.52,3.71,3.60,3.43,3.33,3.22,3.16,3.44,3.29,2.15
"Interest rate, large
firms / PNFCs *",%,3.49,2.35,2.10,2.25,2.41,2.20,2.45,2.11,2.60,2.43,2.70,2.54,1.87
Interest rate spread,% points,1.05,1.12,1.39,1.27,1.30,1.40,0.98,1.22,0.62,0.73,0.74,0.75,0.28
"Collateral, SMEs","% of SMEs
needing
collateral to
obtain bank
lending",..,..,..,25,31,31,34,40,45,56,41,39,15
"Percentage of SME
loan applications","SME loan
applications/
total number
of SMEs",..,..,..,7,6,4,5,4,3,2,2,2,7
Rejection rate,"1-(SME
loans
authorised/
requested)",..,..,..,..,31,32,23,18,19,20,18,22,15
