"Outstanding business
loans, SMEs. As of
June 30",USD billion,687,711,695,652,608,588,585,590,599,613,619,633,645,833
"Outstanding business
loans, total. As of June
30",USD trillion,2.28,2.57,2.52,2.30,2.35,2.55,2.67,2.87,3.07,3.32,3.46,3.62,3.68,..
"Share of SME
outstanding loans","% of total
outstanding
business loans",30.1,27.7,27.6,28.4,25.9,23.1,21.9,20.6,19.5,18.5,17.9,17.5,17.5,..
"New business lending,
SMEs",USD: Index,119,94,74,77,97,100,105,120,147,140,140,145,137,140
"Government loan
guarantees, SMEs",USD billion,67,71,73,77,84,88,93,98,101,106,113,120,122,639
"Government
guaranteed loans,
SMEs","Number of
loans","374
996","387
826","384
626","365
724","353
743","337
215","322
572","316
160","312
851","315
615","321
167","325
963","322
161","5 388
704"
"Direct Government
Loans, SMEs",USD billion,,,,,,,,,,,,,,177
"Non-performing loans,
total","% of all
business loans",1.22,1.88,3.91,3.46,2.01,1.34,1.00,0.80,0.87,1.57,1.33,1.12,1.06,1.24
"Non-performing loans,
SMEs","% of all SME
loans",2.14,2.62,3.24,2.62,1.90,1.44,1.21,1.22,1.22,1.28,1.34,1.41,1.59,1.92
"Interest rate, SMEs",%,7.96,5.16,3.82,4.09,3.95,3.76,3.55,3.39,3.33,3.46,4.94,5.16,5.26,2.82
"Interest rate, large
firms",%,8.05,5.09,3.25,3.25,3.25,3.25,3.25,3.25,3.26,3.51,4.10,4.90,5.50,3.25
Interest rate spread,% points,-0.09,0.08,0.57,0.84,0.70,0.51,0.30,0.14,0.07,-0.05,0.84,0.26,-0.24,-0.43
"Collateral, SMEs","% of SMEs
needing
collateral to
obtain bank
lending",..,..,..,..,..,..,..,..,..,..,92.90,94.30,92.2,51.1
"Percentage of SME
loan applications","SME loan
applications/
total number of
SMEs",..,..,..,..,..,..,..,..,..,..,55.2,67.3,67.7,67.6
Rejection rate,"1-(SME loans
authorised/
requested)",..,..,..,..,..,..,..,..,..,..,44.80,32.70,32.4,32.4
Utilisation rate,"SME loans
used/
authorised",..,..,..,..,..,..,..,..,..,..,47.50,46.60,51.2,49.2
