"Outstanding
business
loans, SMEs",AUD billion,189,204.6,204.7,225.2,235.9,239.9,243.1,251.4,261.5,271.4,281.4,283.7,426.6,421.3,436,476.2
"Outstanding
business
loans, total",AUD billion,629,690.8,653.3,636.4,665.5,685.7,694.5,723.5,764.1,800.4,820.1,861.3,873.0,877.6,941.3,1056
"Share of SME
outstanding
loans","% of total
outstanding
business
loans",30.0,29.62,31.33,35.38,35.46,35.00,35.01,34.75,34.22,33.91,34.31,32.94,48.86,48.01,46.33,45.09
"New business
lending, total",AUD billion,375,336.1,265.5,265.8,310.7,273.8,292.4,360.5,391.7,341.8,346.0,346.9,..,517.3,426.8,612.9
"New business
lending,
SMEs",AUD billion,77.5,79.9,69.6,82.5,81.6,73.7,79.1,85.4,91.2,86.7,79.7,76.7,..,80,104.4,116.1
"Share of new
SME lending","% of total
new
lending",20.7,23.77,26.20,31.04,26.25,26.91,27.06,23.69,23.27,25.37,23.03,22.11,..,15.50,24.46,18.94
"Non-
performing
loans, total","% of all
business
loans",0.50,2.07,3.27,3.55,3.16,2.68,2.03,1.39,1.01,1.13,0.78,0.81,0.92,1.08,0.98,0.90
"Interest rate,
SMEs",%,8.66,8.04,7.60,8.40,8.02,7.13,6.54,6.27,5.63,5.36,5.28,5.33,4.18,3.40,3.10,5.48
"Interest rate,
large firms",%,7.95,6.34,5.94,7.02,6.74,5.50,4.77,4.60,3.90,3.49,3.43,3.72,2.48,1.63,1.50,4.50
"Interest rate
spread",% points,0.71,1.70,1.66,1.38,1.28,1.62,1.77,1.67,1.73,1.86,1.85,1.61,1.70,1.77,1.60,0.99
