Indicator,Unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Debt,,,,,,,,,,,,,,,,,
"Outstanding
business loans,
SMEs",CAD billion,83.4,83.4,86.4,85.7,90.1,87.7,92.2,93.5,97.4,99.6,104.1,105.7,109.8,117.9,127.5,140.4
"Outstanding
business loans,
total",CAD billion,479.8,534.0,482.3,489.5,514.4,557.3,602.1,658.5,739.0,774.7,834.1,918.2,984.9,10007,1097,1236
"Share of SME
outstanding
loans","% of total outstanding
business loans",17.39,15.61,17.92,17.50,17.52,15.75,15.31,14.20,13.18,12.86,12.49,11.51,11.15,11.71,11.63,11.36
"New business
lending, total",CAD billion,..,..,..,..,126.2,141.6,151.0,168.7,188.4,204.0,233.9,269.7,285.7,287.7,317.8,361.3
"New business
lending, SMEs",CAD billion,..,..,..,..,20.2,21.7,22.8,23.2,24.0,22.8,25.2,27.2,26.8,26.7,28.9,31.1
"Share of new
SME lending",% of total new lending,..,..,..,..,15.99,15.30,15.10,13.74,12.73,11.16,10.78,10.08,9.39,9.30,9.11,8.60
"Outstanding
short-term loans,
SMEs",CAD billion,15.1,..,,,6.9,..,..,15.6,..,..,24.2,..,..,15.6,..,..
"Outstanding
long-term loans,
SMEs",CAD billion,21.1,..,..,..,12.8,..,..,12.4,..,..,32.4,..,..,23.8,..,..
"Share of short-
term SME
lending",% of total SME lending,41.62,..,43.40,36.30,35.13,39.00,46.00,55.71,47.20,36.20,42.8,30.10,19.50,39.62,31.52,19.66
"Government
loan guarantees,
SMEs",CAD billion,1.20,1.30,1.20,1.30,1.30,1.08,1.06,1.01,1.11,1.30,1.54,1.75,1.89,3.27,3.91,3.98
"Direct
government
loans, SMEs",CAD billion,4.40,4.10,5.50,4.70,6.00,5.80,4.60,6.50,6.70,7.9,8.0,8.4,8.10,9.92,11.35,13.18
"Interest rate,
SMEs",%,7.50,..,6.20,5.80,5.30,5.40,5.60,5.10,5.10,5.30,5.20,5.70,5.30,4.80,4.09,6.21
"Interest rate,
large firms",%,6.10,..,3.10,2.60,3.00,3.00,3.00,3.00,2.80,2.70,2.90,3.64,3.60,2.77,2.45,4.11
"Interest rate
spread",% points,1.40,..,3.10,3.20,2.30,2.40,2.60,2.10,2.30,2.60,2.30,2.06,1.70,2.03,1.64,2.10
"Collateral, SMEs","% of SMEs needing
collateral to obtain
bank lending",47.7,..,56.1,66.7,64.8,76.0,56.0,66.6,80.0,74.0,64.1,70.0,72.73,61.10,57.77,62.02
"Percentage of
SME loan
applications","SME loan applications/
total number of SMEs",17.0,..,14.0,18.0,24.0,26.0,30.0,27.0,23.0,26.0,26.0,27.0,26.71,16.10,16.70,17.69
Rejection rate,"Percentage of
businesses' debt
financing requests that
were rejected.",..,..,..,9.0,8.0,7.0,9.0,12.8,7.0,9.0,9.5,9.0,8.3,8.4,5.5,7.1
