"Outstanding
business loans,
SMEs",EUR Billion,199 413,209 955,213 698,216 199,219 231,224 487,232 926,243 431,253 324,263 367,336 197,337 906,348 558
"Outstanding
business loans,
total",EUR Billion,974 427,1 012 699,1 010 201,1 026 553,1 037 246,1 080 039,1 131 846,1 196 423,1 263 254,1 342 067,1 514 613,1 541 624,1 666 273
"Share of SME
outstanding
loans","% of total
outstanding
business
loans",20.5,20.7,21.2,21.1,21.1,20.8,20.6,20.3,20.1,19.6,22.2,21.9,20.9
"New business
lending, total",EUR Billion,9 052,34 600,7 752,1 565,18 942,35 009,43 799,56 141,58 737,51 560,141 309,43 683,91 896
"Outstanding
short-term loans,
SMEs",EUR Billion,38 066,40 268,41 045,42 738,43 219,43 444,43 805,44 640,44 776,44 351,99 496,57 444,28 560
"Outstanding
long-term loans,
SMEs",EUR Billion,134 211,142 457,146 236,146 049,148 620,152 314,158 883,166 645,175 189,184 879,198 717,243 500,279 925
"Share of short-
term SME
lending","% of total
SME lending",22.1,22.0,21.9,22.6,22.5,22.2,21.6,21.1,20.4,19.3,33.4,19.1,9.3
"Government loan
guarantees,
SMEs",EUR Billion,5 326,4 231,4 157,4 394,4 783,4 984,5 229,5 103,5 095,4 805,5 873,5 315,6 366
"Government
guaranteed
loans, SMEs",EUR Billion,11 883,9 826,8 465,8 925,7 800,8 000,8 400,8 900,8 700,8 500,116 800,21 000,13 810
"Non-performing
loans, total","% of all
business
loans",4.6,4.0,4.1,4.3,4.1,4.0,3.9,3.6,3.3,2.5,2.2,1.9,1.8
"Interest rate,
SMEs",%,2.5,3.1,2.4,2.2,2.1,1.8,1.5,1.4,1.5,1.4,1.0,1.3,1.9
"Interest rate,
large firms",%,1.6,2.2,1.7,1.5,1.3,1.2,1.1,1.1,1.0,0.9,0.7,1.1,1.3
"Interest rate
spread",% points,0.9,0.9,0.7,0.7,0.8,0.6,0.4,0.3,0.4,0.5,0.3,0.2,0.6
"Collateral, SMEs","% of SMEs
needing
collateral to
obtain bank
lending",,,94,8.5,7.3,6.3,5.2,4.3,4.2,3.8,3.6,2.8,4.8
