Col0,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Debt,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17
"Outstanding business
loans, SMEs",EUR billion,187,191,193,210,206,204,196,192,188,175,169,166,160,166,165,162
"Outstanding business
loans, total",EUR billion,998,1067,1057,1122,1134,1118,1061,1026,1016,984,959,960,931,984,992,983
"Share of SME
outstanding loans","% of total
business loans",18.7,17.9,18.3,18.7,18.2,18.2,18.5,18.7,18.5,17.8,17.7,17.3,17.2,16.9,16.7,16.4
"Short-term loans
SMEs",",EUR billion",59,56,52,50,48,47,42,39,35,31,28,27,26,19,17,17
"Long-term loans
SMEs",",EUR billion",115,120,125,136,133,128,122,115,112,103,101,100,97,112,114,110
"Total short and long-
term loans, SMEs",EUR billion,174,177,177,186,181,175,164,154,147,134,129,127,123,131,132,127
"Share of short-term
loans, SMEs","% of total short
and long-term
SME loans",34.0,31.9,29.3,27.0,26.5,26.7,25.7,25.3,23.8,22.9,21.8,21.3,20.8,14.6,13.2,13.6
"Direct governmen
loans, SMEs",tEUR million,337,373,255,276,273,252,390,597,392,418,431,439,633,1 338,3 186,1 658
"Government
guaranteed loans
SMEs (CGF)","EUR million,
,flows",2 300,2 353,4 914,9 119,8 378,8 190,10 811,12 935,15 065,16 703,17 462,19 314,19 376,124 387,93 555,53 860
"Government loan
guarantees, SMEs
(CGF)","EUR million,
flows",1 146,1 160,2 756,5 225,4 435,4 036,6 414,8 392,10 216,11 570,12 260,13 731,13 342,105 921,67 642,42 136
"Non-performing
loans, SMEs",EUR million,..,22 864,27 949,35 221,38 025,43 792,48 358,53 704,56 181,54 937,50 594,47 337,45 713,42 736,40 436,40 509
"Non-performing
loans, SMEs","% of total SME
loans",..,12.0,14.5,16.8,18.4,21.5,24.6,28.0,30.0,31.4,29.9,28.6,28.5,25.7,24.5,25.1
"Interest rate, SMEs",%,6.3,6.7,3.8,4.0,5.2,6.0,5.7,4.8,4.2,3.5,3.3,3.4,3.4,2.3,2.8,5.3
"Interest rate, large
firms",%,5.7,5.7,2.4,2.4,3.6,4.0,3.8,2.9,2.2,2.1,2.1,2.1,1.7,1.5,1.6,3.3
Interest rate spread,%,0.6,1.0,1.4,1.6,1.6,2.0,2.0,1.9,1.9,1.4,1.2,1.3,1.7,0.8,1.2,2.0
"Collateral, SMEs",%,54,54,52,53,55,54,56,56,57,58,58,57,57,53,52,52
Rejection rate,"% of firms
reporting that
they had not
obtained some
or all of the
credit
requested",3.1,8.2,6.9,5.7,11.3,12.0,8.9,8.4,6.0,4.0,4.2,4.6,4.1,5.8,2.8,2.6
Utilisation rate,"SME loans
used /
authorised",79.7,80.7,80.7,82.8,84.4,86.6,87.2,87.7,87.4,85.3,85.0,85.4,84.7,83.4,84.1,84.5
