Col0,Col1,Col2,Col3,Col4,Col5,Col6,Debt,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17
"Outstanding
business loans,
SMEs",EUR billion,..,..,..,..,..,..,..,293,258,247,263,229,219,241,237,228
"Outstanding
business loans,
total",EUR Billion),893,952,915,896,840,708,609,545,518,493,477,446,435,471,473,470
"Share of SME
outstanding loans","% of total
outstanding
business
loans",..,..,..,..,..,..,..,53.79,49.85,50.10,55.14,51.35,50.34,51.17,50.11,48.51
"New business
lending, total",EUR Billion),991,929,868,665,527,485,393,357,393,323,339,347,348,357,299,359
"New business
lending, SMEs",EUR Billion,394,357,263,210,174,146,134,147,165,170,184,175,174,173,151,173
"Share of new SME
lending","% of total
new lending",39.76,38.43,30.30,31.58,33.02,30.10,34.10,41.18,41.98,52.63,54.28,50.43,50,48.5,50.5,48.2
"Outstanding short-
term loans, SMEs",EUR,379,346,246,196,166,139,126,135,154,153,163,157,156,129,132,161
"Outstanding long-
term loans, SMEs",EUR,15,11,17,14,8,7,9,11,12,17,21,18,17,44,20,11
"Share of short-term
SME lending","% of total
SME lending",96.19,96.92,93.54,93.33,95.40,95.21,93.33,92.47,92.77,90.00,88.59,89.71,90.2,74.6,86.8,93.6
"Direct government
loans, SMEs",EUR Million,"10
592","13
127","20
825","24
929","27
674","53
519","63
110","56
160","51
369","46
047","41
234","37
728","32
676","30
774","27
883","24
942"
"Non-performing
loans, total","% of all
business
loans",0.74,0.74,6.19,7.87,11.32,15.48,20.31,18.49,14.62,13.10,10.26,6.87,5.41,4.98,4.76,4.21
"Interest rate, SMEs",%,5.96,5.51,3.63,3.78,4.95,4.91,4.79,3.86,3.01,2.44,2.15,1.89,1.71,1.71,1.56,3.44
"Interest rate, large
firms",%,5.33,4.30,2.16,2.57,3.36,2.61,2.69,1.99,1.97,1.56,1.56,1.69,1.15,1.39,1.04,3.23
Interest rate spread,% points,0.63,1.21,1.47,1.21,1.59,2.30,2.10,1.87,1.04,0.88,0.59,0.20,0.56,0.32,0.52,0.20
"Collateral, SMEs","% of SMEs
needing
collateral to
obtain bank
lending",..,..,..,35.19,34.36,31.45,30.00,31.22,28.24,25.89,26.04,24.05,23.39,20.79,19.16,18.85
"Percentage of SME
loan applications","SME loan
applications/
total number
of SMEs",..,..,38.07,36.25,34.67,31.89,31.49,34.36,33.81,32.80,28.14,28.60,33.87,42.44,22.07,21.16
Rejection rate,"1-(SME loans
authorised/
requested)",..,..,22.74,15.87,12.83,18.47,12.85,9.77,7.87,6.95,4.75,5.95,4.38,3.85,5.87,6.39
