Col0,Col1,Col2,Col3,Col4,Col5,Col6,Debt,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16
"Outstanding
business
loans, SMEs",GBP billion,..,..,..,189,176,166,167,164,166,165,166,168,213,209,197
"Outstanding
business
loans, total",GBP billion,..,..,..,504,472,448,435,430,449,466,477,490,530,526,540
"Share of SME
outstanding
loans","% of total
outstanding
business
loans",..,..,..,37.5,37.3,37.1,38.4,38.3,36.9,35.5,34.8,34.2,40.2,39.8,36.5
"New business
lending, total",GBP billion,..,..,..,..,146,163,190,205,234,259,273,259,329,241,277
"New business
lending, SMEs",GBP billion,..,..,..,,38,43,53,58,59,57,58,57,105,58,65
"Share of new
SME lending","% of total new
lending",..,..,..,,26.1,26.4,28.2,28.2,25.3,22.2,21.2,22.0,31.9,23.9,23.5
"Government
loan
guarantees,
SMEs",GBP million,..,61,51,31,43,50,45,34,31,32,30,30,57 630,11 262,1 730
"Government
guaranteed
loans, SMEs",GBP million,..,626,528,324,284,335,297,227,207,216,199,203,61 206,13 291,2 470
"Direct
government
loans, SMEs",GBP million,..,..,..,..,0.8,60.6,70.6,61.9,82.6,106.9,85.4,89.8,126.4,134.7,121.5
"Interest rate,
SMEs",%,4.54,3.47,3.49,3.52,3.71,3.60,3.43,3.33,3.22,3.16,3.44,3.41,2.15,2.45,3.91
"Interest rate,
large firms /
PNFCs *",%,3.49,2.35,2.10,2.25,2.41,2.20,2.45,2.11,2.60,2.43,2.70,2.64,1.87,2.12,3.23
"Interest rate
spread",% points,1.05,1.12,1.39,1.27,1.30,1.40,0.98,1.22,0.62,0.73,0.74,0.77,0.28,0.33,0.68
"Collateral,
SMEs","% of SMEs
needing
collateral to
obtain bank
lending",..,..,..,25,31,31,34,40,45,55,41,39,15,14,22
"Percentage of
SME loan
applications","SME loan
applications/
total number
of SMEs",..,..,..,7,6,4,5,4,3,2,2,2,6,7,3
Rejection rate,"1-(SME loans
authorised/
requested)",..,..,..,..,31,32,23,18,19,20,24,25,16,15,45
