0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Table 3.1. Scoreboard for Australia,,,,,,,,,,,,,,,,,,,
Indicator,Unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,2020  2021,2022,2023,2024
,,,,,Debt,,,,,,,,,,,,,,
"Outstanding business loans, SMEs",AUD billion,,,,,,,,,,,,,,502.6  493.3  506.4  547.1,,,588.2,649.0
"Outstanding business loans, total",AUD billion,628.8,690.8,653.3,636.4,665.5,685.8,694.5,723.5,764.1,800.5,820.2,861.5,,871.2  878.0  942.1  1 057,,,1 120,1 233
Share of SME outstanding loans,% of total outstanding,,,,,,,,,,,,,,57.69  56.18  53.76  51.75,,,52.52,52.66
,business loans,,,,,,,,,,,,,,,,,,
"New business lending, SMEs",AUD billion,,,,,,,,,,,,,,,80.2  104.4  116.2,,122.5,153.7
"Government loan guarantees, SMEs",AUD million,,,,,,,,,,,,,,,5 622  8 373,,8 159,8 000
"Government guaranteed loans, SMEs",AUD million,,,,,,,,,,,,,,,,9 539  16 494  16 050  15 749,,
"Non-performing loans, total",% of all business loans,0.64,2.33,4.68,4.74,4.18,3.21,2.47,1.71,1.24,1.37,0.95,0.99,1.11,1.27,1.14,1.12,1.23,1.40
"Interest rate, SMEs",%,8.66,8.04,7.60,8.40,8.02,7.13,6.54,6.27,5.63,5.36,5.28,5.33,4.18,3.40,3.10,5.48,6.49,6.57
"Interest rate, large firms",%,7.95,6.34,5.94,7.02,6.74,5.50,4.77,4.60,3.90,3.49,3.43,3.72,2.48,1.63,1.50,4.49,5.78,5.81
Interest rate spread,Percentage points,0.71,1.70,1.66,1.38,1.28,1.62,1.77,1.67,1.73,1.86,1.85,1.61,1.70,1.77,1.60,0.98,0.72,0.76
,,,,Non-bank finance,,,,,,,,,,,,,,,
Venture and growth capital,AUD billion,0.46,0.37,0.13,0.28,0.36,0.26,0.23,0.41,0.67,1.13,0.80,1.30,1.34,1.32,2.14,1.83,1.96,2.20
Venture and growth capital (growth rate),"%, Year-on-year growth rate",,-19.44,,-64.31  114.42,28.27,-27.45,-13.31  79.48,,62.48,68.61,-28.71  62.16,,3.13,,-1.32  61.25  -14.27,,7.33,12.18
Leasing and hire purchases,AUD billion,9.25,9.28,6.73,6.55,6.90,8.75,7.34,8.77,9.86,8.89,10.14,9.71,,10.04  10.53  10.33,,9.78,12.31,13.14
Factoring and invoicing,AUD billion,54.76,64.99,63.10,58.66,61.42,63.36,63.27,62.39,64.40,,,,,,,,,
,,,,,Other indicators,,,,,,,,,,,,,,
"Payment delays, B2B",Number of days,,,,,22,20,20,15,13,14,12,11,10,11,11,,,
"Bankruptcies, Unincorporated",Number,5 045,4 427,4 426,5 616,5 266,5 858,4 761,4 007,4 088,4 350,4 168,4 291,,3 815  3 846  2 546  2 196,,,2 798,3 312
"Bankruptcies, Unincorporated",Per 10 000 enterprises,42,36,36,45,43,50,42,35,34,36,34,36,26,28,18,15,19,22
"Bankruptcies, Corporates",Number,7 521,9 113,9 437,9 601,,10 481  10 632  10 821  8 794  10 164  8 505,,,,,7 811,8 044,,8 324  4 943  4 511  6 446,,,,9 227  13 451
"Bankruptcies, Corporates",Per 10 000 companies,48,55,55,54,57,55,54,42,45,36,31,31,31,18,15,21,29,40
"Bankruptcies, Total",Number,,12 566  13 540  13 863  15 217  15 747  16 490  15 582  12 801  14 252  12 855  11 979  12 335  12 139  8 789  7 057  8 642  12 025  16 763,,,,,,,,,,,,,,,,
"Bankruptcies, Total",Per 10 000 businesses,45,47,47,50,51,53,49,39,41,36,32,32,29,21,16,19,25,34
"Invoice payment days, average",Number of days,53,56,54,53,54,53,54,53,47,,,,,,,,,
"Outstanding business credit, Unincorporated business",AUD billion,111.1,117.4,118.7,121.9,124.8,131.2,136.4,141.9,149.6,156.8,164.1,165.1,,244.9  246.9  265.7  281.4,,,302.7,
"Outstanding business credit, Private trading",AUD billion,499.8,555.1,514.3,500.1,514.5,523.8,530.6,556.1,591.8,625.8,635.9,662.5,,618.0  619.5  663.7  687.8,,,733.2,
corporations,,,,,,,,,,,,,,,,,,,
