"0-Outstanding business loans, SMEs",1-CAD billion,2-83.4,3-83.4,4-86.4,5-85.7,6-90.1,7-87.7,8-92.2,9-93.5,10-97.4,11-99.6,12-104,13-106,14-109.8,15-117.9,16-127.5,17-140.4,18-134.8,19-160.1
"Outstanding business loans, total",CAD billion,480,534,482,490,514,557,602,659,739,775,834,918,984.9,10 007,1 097,1 236,1 346,1 363
Share of SME outstanding loans,"% of total outstanding
business loans",17.4,15.6,17.9,17.5,17.5,15.8,15.3,14.2,13.2,12.9,12.5,11.5,11.15,11.71,11.63,11.36,10.0,11.8
"New business lending, total",CAD billion,,,,,126,142,151,169,188,204,234,270,285.7,287.7,317.8,361.3,370.8,402.8
"New business lending, SMEs",CAD billion,,,,,20.2,21.7,22.8,23.2,24.0,22.8,25.2,27.2,26.8,26.7,28.9,31.1,30.1,23.4
Share of new SME lending,% of total new lending,,,,,16,15.3,15.1,13.7,12.7,11.2,10.8,10.1,9.39,9.30,9.11,8.60,8.12,5.81
"Outstanding short-term loans, SMEs",CAD billion,15.1,,,,6.9,,,15.6,,,24.2,,,15 .6,,,38.6,
"Outstanding long-term loans, SMEs",CAD billion,21.1,,,,12.8,,,12.4,,,32.4,,,23.8,,,42.6,
Share of short-term SME lending,% of total SME lending,41.6,,43.4,36.3,35.1,39.0,46.0,55.7,47.2,36.2,42.8,30.1,19.50,39.62,31.52,19.66,47.6,27.1
"Government loan guarantees, SMEs",CAD billion,1.20,1.30,1.20,1.30,1.30,1.08,1.06,1.01,1.11,1.30,1.54,1.75,1.89,3.27,3.91,3.97,4.29,4.69
"Direct government loans, SMEs",CAD billion,4.40,4.10,5.50,4.70,6.00,5.80,4.60,6.50,6.70,7.9,8.0,8.4,8.10,9.9 2,11.35,13.18,12.01,14.55
"Interest rate, SMEs",%,7.50,,6.20,5.80,5.30,5.40,5.60,5.10,5.10,5.30,5.20,5.70,5.30,4.80,4.09,6.21,9.00,7.28
"Interest rate, large firms",%,6.10,,3.10,2.60,3.00,3.00,3.00,3.00,2.80,2.70,2.90,3.64,3.60,2.77,2.45,4.11,6.94,6.77
Interest rate spread,Percentage points,1.40,,3.10,3.20,2.30,2.40,2.60,2.10,2.30,2.60,2.30,2.06,1.70,2.03,1.64,2.10,2.06,0.51
"Collateral, SMEs","% of SMEs needing
collateral to obtain bank
lending",47.7,,56.1,66.7,64.8,76.0,56.0,66.6,80.0,74.0,64.1,70.0,72.73,61.10,57.77,62.02,46.70,65.25
"Percentage of SME loan
applications","SME loan applications/ total
number of SMEs",17.0,,14.0,18.0,24.0,26.0,30.0,27.0,23.0,26.0,26.0,27.0,26.71,16.10,16.70,17.69,25.40,9.04
Rejection rate,"Percentage of businesses'
debt financing requests that
were rejected.",,,,9.0,8.0,7.0,9.0,12.8,7.0,9.0,9.5,9.0,8.3,8.4,5.5,7.1,8.00,7.57
