0,1
, 9
FIGURES,
Figure 1.1. Global GDP growth and inflation developments,22
Figure 1.2. Uncertainty and Business Confidence Index,24
Figure 1.3. Policy interest rates in selected countries,25
Figure 1.4. New SME loans,26
Figure 1.5. New SME lending versus SME interest rates,28
Figure 1.6. Outstanding stock of SME loans,29
Figure 1.7. Outstanding stock of SME loans,30
Figure 1.8. Share of SME outstanding stock of loans,31
Figure 1.9. SME interest rates,32
Figure 1.10. Scoreboard median SME and large firm interest rates and interest rate spreads,33
Figure 1.11. Share of SMEs requiring collateral,34
Figure 1.12. Share of SME application and rejections,35
Figure 1.13. Evolution of leasing and factoring activities,36
Figure 1.14. Venture capital investments,37
Figure 1.15. Global VC investments in Artificial Intelligence and Machine learning,38
Figure 1.16. Fintech main customer segments by customer base and revenue in 2023,39
Figure 1.17. Non-performing loans,41
Figure 1.18. Levels of SME bankruptcies in 2024 relative to 2019,42
Figure 1.19. Guaranteed loans to SMEs,44
"Figure 2.1. Global VC investment volumes by quarter, 2015-2025",58
"Figure 2.2. Global VC investment by deal type, 2010 – Q1 2025",59
Figure 2.3. Global VC investment by sector,60
Figure 2.4. European venture capital commitments by type of investor,61
Figure 2.5. Gender composition of company founders receiving an equity deal in 2022-2024,68
