0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Table 14.1. Scoreboard for France,,,,,,,,,,,,,,,,,,
Indicator,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,Debt,,,,,,,,,,,,,
"Outstanding business loans, SMEs",EUR billion,,,,,423.7,429.9,435.4,443.7,457.4,476.4,496.8,516.7,599.6,674.1,686.5,689.6,674.3
"Outstanding business loans, total",EUR billion,,,,,1 010,1 027,1 037,1 080,1 132,1 196,1 263,1 342,1 515,1 542,1 666,1 681,1 712
Share of SME outstanding loans,% of total outstanding business loans,,,,,41.94,41.88,41.98,41.08,40.41,39.82,39.32,38.50,39.59,43.73,41.20,41.04,39.40
"New business lending, total",EUR million,293.9,232.1,235.1,248.0,238.6,208.1,184.5,239.6,267.6,315.7,314.7,330.2,436.7,321.6,373.3,314.6,
"Government loan guarantees, SMEs",EUR million,3 219,5 752,5 326,4 231,4 157,4 394,4 783,4 984,5 229,5 103,5 095,4 805,5 873,5 315,6 366,,
"Government guaranteed loans, SMEs",EUR billion,6.86,11.27,11.88,9.83,8.47,8.93,7.80,8.00,8.40,8.90,8.70,8.50,116.80  21.00,,13.81,,
"Non-performing loans, total",% of all business loans,3.66,4.71,4.56,3.96,4.06,4.25,4.13,4.04,3.90,3.61,3.27,2.54,2.22,1.92,1.90,1.99,2.06
"Non-performing loans, SMEs",% of all SME loans,5.42,2.86,2.48,3.11,2.43,2.16,2.08,1.78,1.50,1.40,1.48,1.40,1.00,1.26,1.90,4.20,4.26
"Interest rate, SMEs",%,4.76,1.96,1.57,2.23,1.72,1.46,1.30,1.19,1.14,1.10,1.03,0.90,0.73,1.10,1.32,3.50,4.03
"Interest rate, large firms",%,0.66,0.90,0.91,0.89,0.71,0.70,0.78,0.59,0.35,0.30,0.45,0.50,0.27,0.16,0.58,0.70,0.30
Interest rate spread,Percentage points,5.42,2.86,2.48,3.11,2.43,2.16,2.08,1.78,1.50,1.40,1.48,1.40,1.00,1.26,1.90,4.20,4.26
"Collateral, SMEs",% of SMEs needing collateral to obtain,,,,,9.42,8.52,7.28,6.33,5.17,4.34,4.22,3.83,3.61,2.84,4.80,6.50,6.41
,bank lending,,,,,,,,,,,,,,,,,
Percentage of SME loan,SME loan applications/ total number of,,,,,38.41,35.65,35.73,37.87,37.90,37.17,36.72,36.35,39.25,31.70,33.44,33.75,32.99
applications,SMEs,,,,,,,,,,,,,,,,,
Rejection rate,1-(SME loans authorised/ requested),,,,,7.00,6.20,5.30,5.20,3.90,3.10,2.90,2.10,2.60,3.20,3.50,3.80,4.10
Utilisation rate,SME loans used/ authorised,87.77,87.18,86.39,87.03,87.64,87.32,87.50,87.20,87.02,86.80,86.84,87.05,88.71,89.10,88.50,88.77,89.07
,,,,,Non-bank finance,,,,,,,,,,,,,
Venture and growth capital,EUR million,2 411,2 385,2 915,3 537,2 389,2 469,3 234,4 610,4 727,4 378,5 073,6 240,6 425,4 600,5 111,3 609,4 965
Venture and growth capital (growth,"%, Year-on-year growth rate",21.34,-1.08,22.22,21.34,-32.46,3.35,30.98,42.55,2.54,-7.38,15.87,23.00,3.00,-28.40  11.11,,-29.39  37.57,
rate),,,,,,,,,,,,,,,,,,
Leasing and hire purchases,EUR million,9 532,9 018,8 472,8 125,6 591,6 086,5 713,7 122,7 654,7 827,8 361,8 665,,9 028  10 020  10 205  11 812  12 303,,,
Factoring and invoicing,EUR billion,22.46,18.84,20.65,22.46,22.60,24.80,25.57,27.97,31.04,36.10,37.56,39.81,35.02,38.98,41.84,44.75,39.12
,,,,,Other indicators,,,,,,,,,,,,,
"Payment delays, B2B",Number of days,11.90,11.80,11.98,12.18,11.82,12.08,12.21,13.30,11.90,11.12,10.90,11.29,12.80,12.51,11.88,12.20,13.00
"Bankruptcies, SMEs",Number,,55 596  63 228,60 351,59 550,61 179,62 637,62 534,63 085,58 130,54 529,,54 017  51 119  31 184  27 240  41 253  56 046  66 262,,,,,
"Bankruptcies, SMEs (growth rate)","%, Year-on-year growth rate",8.37,13.73,-4.55,-1.33,2.74,2.38,-0.16,0.88,-7.85,-6.19,-0.94,-5.36,-39.00,-12.65  51.44,,35.86,17.67
