"0-Outstanding business loans, SMEs",1-EUR billion,2-187,3-191,4-193,5-210,6-206,7-204,8-196,9-192,10-188,11-175,12-170,13-166,14-161,15-167,16-166,17-164,18-153,19-142
"Outstanding business loans, total",EUR billion,998,1 067,1 057,1 124,1 135,1 119,1 061,1 026,1 016,985,961,962,937,991,1 000,996,956,919
Share of SME outstanding loans,% of total business loans,18.7,17.9,18.3,18.7,18.2,18.2,18.5,18.7,18.5,17.8,17.6,17.2,17.2,16.8,16.6,16.4,16.0,15.4
"Short-term loans, SMEs",EUR billion,59,56,52,50,48,47,42,39,35,31,28,27,26,19,17,17,16,16
"Long-term loans, SMEs",EUR billion,115,120,125,135,132,128,122,115,112,103,101,100,97,111,114,110,100,91
"Total short and long-term loans, SMEs",EUR billion,174,177,177,185,180,175,164,154,147,134,129,127,123,130,132,127,116,107
"Share of short-term loans, SMEs",% of total short and long-term SME loans,34.0,31.9,29.3,27.0,26.5,26.7,25.7,25.4,23.8,22.9,21.8,21.3,20.8,14.6,13.2,13.6,13.9,14.6
"Direct government loans, SMEs",EUR million,337,373,255,276,273,252,390,597,392,418,431,428,621,1 567,3 081,1 753,1 752,1 663
"Government guaranteed loans, SMEs",EUR billion,2.30,2.35,4.91,9.12,8.38,8.19,10.81,12.94,15.07,16.70,17.46,19.31,19.38,124.39,93.56,53.86,46.24,42.53
"Government loan guarantees, SMEs",EUR billion,1.15,1.16,2.76,5.23,4.44,4.04,6.41,8.39,10.22,11.57,12.26,13.73,13.34,105.9,67.64,42.14,34.80,29.90
"Non-performing loans, SMEs",EUR billion,,22.9,27.9,30.5,33.3,38.6,43.5,47.5,49.5,47.4,38.8,26.3,22.5,18.3,15.4,11.9,12.3,11.3
"Non-performing loans, SMEs",% of total SME loans,,12.0,14.5,14.5,16.1,19.0,22.1,24.8,26.4,27.0,22.8,15.8,13.9,11.0,9.3,7.3,8.0,8.0
"Interest rate, SMEs",%,6.3,6.7,3.8,4.0,5.2,6.0,5.7,4.8,4.2,3.5,3.3,3.4,3.4,2.3,2.8,5.3,7.0,5.9
"Interest rate, large firms",%,5.7,5.7,2.4,2.4,3.6,4.0,3.8,2.9,2.2,2.1,2.1,2.1,1.7,1.5,1.6,3.3,5.7,4.7
Interest rate spread,Percentage points,0.6,1.0,1.4,1.6,1.6,2.0,2.0,1.9,1.9,1.5,1.2,1.3,1.7,0.8,1.2,2.0,1.3,1.3
"Collateral, SMEs",%,54,54,52,53,55,55,56,56,57,58,58,58,58,54,52,53,53,53
Rejection rate,"% of firms reporting that they had not
obtained some or all of the credit requested",3.1,8.2,6.9,5.7,11.3,12.0,8.9,8.4,6.0,4.0,4.2,4.6,4.1,5.8,2.8,2.6,2.2,1.8
Utilisation rate,SME loans used / authorised,79.7,80.7,80.7,82.8,84.5,86.6,87.2,87.8,87.5,85.5,85.1,85.5,84.9,83.5,84.3,84.6,84.4,84.1
