0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Table 22.1. Scoreboard for Italy,,,,,,,,,,,,,,,,,,,
Indicator,Unit,,2007  2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,,,,,Debt,,,,,,,,,,,,,,
"Outstanding business loans, SMEs",EUR billion,187,191,193,210,206,204,196,192,188,175,170,166,161,167,166,164,153,142
"Outstanding business loans, total",EUR billion,998,1 067  1 057,,1 124,1 135,1 119,1 061,1 026,1 016,985,961,962,937,991,1 000,996,956,919
Share of SME outstanding loans,% of total business loans,18.7,17.9,18.3,18.7,18.2,18.2,18.5,18.7,18.5,17.8,17.6,17.2,17.2,16.8,16.6,16.4,16.0,15.4
"Short-term loans, SMEs",EUR billion,59,56,52,50,48,47,42,39,35,31,28,27,26,19,17,17,16,16
"Long-term loans, SMEs",EUR billion,115,120,125,135,132,128,122,115,112,103,101,100,97,111,114,110,100,91
"Total short and long-term loans, SMEs",EUR billion,174,177,177,185,180,175,164,154,147,134,129,127,123,130,132,127,116,107
"Share of short-term loans, SMEs",% of total short and long-term SME loans,34.0,31.9,29.3,27.0,26.5,26.7,25.7,25.4,23.8,22.9,21.8,21.3,20.8,14.6,13.2,13.6,13.9,14.6
"Direct government loans, SMEs",EUR million,337,373,255,276,273,252,390,597,392,418,431,428,621,1 567,3 081,1 753,1 752,1 663
"Government guaranteed loans, SMEs",EUR billion,2.30,2.35,4.91,9.12,8.38,8.19,10.81,12.94,15.07,16.70,17.46,19.31,,19.38  124.39  93.56,,53.86,46.24,42.53
"Government loan guarantees, SMEs",EUR billion,1.15,1.16,2.76,5.23,4.44,4.04,6.41,8.39,10.22,11.57,12.26,13.73,13.34,105.9,67.64,42.14,34.80,29.90
"Non-performing loans, SMEs",EUR billion,,22.9,27.9,30.5,33.3,38.6,43.5,47.5,49.5,47.4,38.8,26.3,22.5,18.3,15.4,11.9,12.3,11.3
"Non-performing loans, SMEs",% of total SME loans,,12.0,14.5,14.5,16.1,19.0,22.1,24.8,26.4,27.0,22.8,15.8,13.9,11.0,9.3,7.3,8.0,8.0
"Interest rate, SMEs",%,6.3,6.7,3.8,4.0,5.2,6.0,5.7,4.8,4.2,3.5,3.3,3.4,3.4,2.3,2.8,5.3,7.0,5.9
"Interest rate, large firms",%,5.7,5.7,2.4,2.4,3.6,4.0,3.8,2.9,2.2,2.1,2.1,2.1,1.7,1.5,1.6,3.3,5.7,4.7
Interest rate spread,Percentage points,0.6,1.0,1.4,1.6,1.6,2.0,2.0,1.9,1.9,1.5,1.2,1.3,1.7,0.8,1.2,2.0,1.3,1.3
"Collateral, SMEs",%,54,54,52,53,55,55,56,56,57,58,58,58,58,54,52,53,53,53
Rejection rate,% of firms reporting that they had not,3.1,8.2,6.9,5.7,11.3,12.0,8.9,8.4,6.0,4.0,4.2,4.6,4.1,5.8,2.8,2.6,2.2,1.8
,obtained some or all of the credit requested,,,,,,,,,,,,,,,,,,
Utilisation rate,SME loans used / authorised,79.7,80.7,80.7,82.8,84.5,86.6,87.2,87.8,87.5,85.5,85.1,85.5,84.9,83.5,84.3,84.6,84.4,84.1
,,,,Non-bank finance,,,,,,,,,,,,,,,
"Venture capital investments (early stage), SMEs EUR million",,66,115,98,89,82,135,82,43,74,103,133,324,270,355,587,1 179,752,785
"Growth capital investments (expansion), SMEs  EUR million",,295,440,260,263,500,504,438,230,170,155,161,125,143,133,325,204,366,307
"Growth capital investments (expansion), total",EUR million,641,796,371,583,674,926,914,1 179,333,710,337,816,896,354,858,483,941,695
,,,,Other indicators,,,,,,,,,,,,,,,
"Payment delays, B2B (all firms)",Average number of days,,20.4,21.3,17.3,16.2,17.5,17.3,16.1,15.0,13.4,12.3,12.2,12.4,13.4,10.8,9.5,9.5,8.8
"Bankruptcies, total",Number,,6 168  7 510  9 373  11 241 12 163 12 549 14 133 15 690 14 745 13 535 12 081 11 258 11 162  7 650,,,,,,,,,,,,,9 037,7 207,7 887,9 194
"Bankruptcies, total","%, Year-on-year growth rate",,21.8,24.8,19.9,8.2,3.2,12.6,11.0,-6.0,-8.2,-10.7,-6.8,-0.9,-31.5,18.1,-20.3,9.4,16.6
"Incidence of insolvency, total",per 10 000 enterprises,10.8,13.1,16.4,19.7,21.3,22.0,24.7,27.5,25.8,23.7,21.1,19.7,19.5,13.4,15.8,12.8,13.4,16.5
Key facts on SME financing,,,,,,,,,,,,,,,,,,,
"The  Japanese  economy  showed  positive  signs  in  spring  2024,  with  nominal  GDP  exceeding  JPY  600",,,,,,,,,,,,,,,,,,,
"trillion on an annualized basis for the first time, and capital investment reaching a 33-year record high. A",,,,,,,,,,,,,,,,,,,
"virtuous cycle of wages and prices is being realized, as seen in the labour-management wage negotiations",,,,,,,,,,,,,,,,,,,
"in spring 2024, which lead to a high wage increase for the first time in 33 years, contributing to household",,,,,,,,,,,,,,,,,,,
"demand. However, although the corporate sector has remained firm, wage  and  income growth has not",,,,,,,,,,,,,,,,,,,
"been  able  to  consistently  exceed  inflation,  and  personal  consumption  continues  to  be  weak.  For  this",,,,,,,,,,,,,,,,,,,
"reason, the Japanese economy is currently at a crossroads.",,,,,,,,,,,,,,,,,,,
"Lending to SMEs declined continuously between 2007 and 2012. In 2013, the volume of outstanding SME",,,,,,,,,,,,,,,,,,,
loans shifted upward and has increased consistently since then to reach JPY 356.2 trillion in 2024.,,,,,,,,,,,,,,,,,,,
Average interest rates on new short-term loans in Japan have been very low and further declined between,,,,,,,,,,,,,,,,,,,
"2007 and 2023, falling from 1.64% to nearly a quarter of that amount (0.42%) due to policy of monetary",,,,,,,,,,,,,,,,,,,
"easing. However, in 2024, after the monetary policy meeting in March 2024, the rates increased to 0.51 %",,,,,,,,,,,,,,,,,,,
"in 2024. Long-term interest rates on new loans followed a broadly similar pattern, more than halving from",,,,,,,,,,,,,,,,,,,
"1.73% in 2007 to 0.78% in 2022. At the bottom of 2019, the rates are slightly increased to 1.07% in 2024.",,,,,,,,,,,,,,,,,,,
"Since  2015,  VC  investments  have  been  rising  rapidly,  with  the  exception  of  a  sharp  drop  amid  the",,,,,,,,,,,,,,,,,,,
"disruption  of  the  COVID-19  pandemic  in  2020,  and  reached  their  highest  value  of  JPY  341  billion  in",,,,,,,,,,,,,,,,,,,
"FY2021. However, they declined to JPY 293 billion in FY2024.",,,,,,,,,,,,,,,,,,,
"In regard to leasing, after an upward trend in 2019 pre-COVID, volumes decreased to JPY 2.1 trillion in",,,,,,,,,,,,,,,,,,,
2021. More recently volumes have risen to reach JPY 2.7 trillion in 2024.,,,,,,,,,,,,,,,,,,,
