Table 41.1. Scoreboard for,Spain,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19
Indicator,Unit,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
,Debt,,,,,,,,,,,,,,,,,,
"Outstanding business loans, SMEs",EUR billion,394,357,263,210,174,146,134,147,165,170,184,175,174,173,151,173,193,224
"Outstanding business loans, total",EUR billion,893,952,915,896,840,708,609,545,518,493,477,446,435,471,473,470,448,450
Share of SME outstanding loans,% of total outstanding business loans,44.12,37.50,28.74,23.44,20.70,20.62,22.01,26.99,31.88,34.48,38.57,39.24,50.34,51.17,31.92,36.81,46.43,45.33
"New business lending, total",EUR billion,991,929,868,665,527,485,393,357,393,323,339,347,348,357,299,359,347,402
"New business lending, SMEs",EUR billion,,,,,,,,293,258,247,246,229,219,241,237,228,208,204
Share of new SME lending,% of total new lending,,,,,,,,82.07,65.65,76.47,72.57,65.99,50.00,48.46,79.26,63.51,55.62,55.72
"Outstanding short-term loans, SMEs",EUR billion,379,346,246,196,166,139,126,135,154,153,163,157,156,129,132,161,211,185
"Outstanding long-term loans, SMEs",EUR billion,15,11,17,14,8,7,9,11,12,17,21,18,17,44,20,11,8,12
Share of short-term SME lending,% of total SME lending,96.19,96.92,93.54,93.33,95.40,95.21,93.33,92.47,92.77,90.00,88.59,89.71,90.17,74.57,86.84,93.60,96.35,93.91
"Government loan guarantees, SMEs",EUR billion,5.6,7.70,11.00,10.10,12.00,11.00,13.00,9.10,7.60,6.50,3.11,,,,,,,
"Government guaranteed loans, SMEs",EUR billion,5.2,7.05,5.91,7.24,7.50,4.97,2.06,0.94,0.27,0.11,0.04,0.03,,,,,,
"Direct government loans, SMEs",EUR billion,10.6,13.13,20.83,24.93,27.67,53.52,63.11,56.16,51.40,46.07,41.27,37.48,32.72,30.79,27.91,24.36,22.12,20.80
"Non-performing loans, total",% of all business loans,1,3.66,6.19,7.87,11.32,15.48,20.31,18.49,14.62,13.10,10.26,6.87,5.41,4.98,4.76,4.21,4.06,3.85
"Interest rate, SMEs",%,5.96,5.51,3.63,3.78,4.95,4.91,4.79,3.86,3.01,2.44,2.15,1.89,1.71,1.71,1.56,3.44,5.27,4.07
"Interest rate, large firms",%,5.33,4.30,2.16,2.57,3.36,2.61,2.69,1.99,1.97,1.56,1.56,1.69,1.15,1.39,1.04,3.23,5.04,4.03
Interest rate spread,Percentage points,0.63,1.21,1.47,1.21,1.59,2.30,2.10,1.87,1.04,0.88,0.59,0.20,0.56,0.32,0.52,0.20,0.23,0.04
"Collateral, SMEs",% of SMEs needing collateral to obtain bank lending,,,,35.19,34.36,31.45,30.00,31.22,28.24,25.89,26.04,24.05,23.39,20.79,19.16,18.85,18.94,19.03
Percentage of SME loan applications,SME loan applications/ total number of SMEs,,,38.07,36.25,34.67,31.89,31.49,34.36,33.81,32.80,28.14,28.60,33.87,38.26,22.07,21.16,18.34,20.19
Rejection rate,1-(SME loans authorised/ requested),,,22.74,15.87,12.83,18.47,12.85,9.77,7.87,6.95,4.75,5.95,4.38,4.05,5.87,6.39,9.50,9.91
,Non-bank finance,,,,,,,,,,,,,,,,,,
Venture and growth capital,EUR Million,,3 336,3 596,3 600,2 675,2 145,1 473,2 247,1 902,1 886,2 446,2 984,4 196,4 165,5 193,5 024,6 595,6 009
Venture and growth capital (growth rate),"%, Year-on-year growth rate",,,7.79,0.11,-25.69,-19.81,-31.33,52.55,-15.35,-0.84,29.69,22.00,40.62,-0.74,24.68,-3.26,31.26,-8.89
,Other indicators,,,,,,,,,,,,,,,,,,
"Payment delays, B2B",Number of days,,5,14,12,6,9,16,11,9,7,5,2,0,3,2,-4,-4,
"Bankruptcies, SMEs",Number,1 002,2 761,4 890,4 728,5 666,7 780,8 903,6 378,4 915,4 068,3 981,3 941,4 318,3 993,4 897,6 080,4 963,5 589
"Bankruptcies, SMEs (growth rate)","%, Year-on-year growth rate",,175.55,77.11,-3.31,19.84,37.31,14.43,-28.36,-22.94,-17.23,-2.14,-1.00,9.57,-7.53,22.64,24.16,-18.37,12.61
