0,1
10 ,
Table 28.1. Scoreboard for Luxembourg,142
Table 29.1. Scoreboard for Malaysia,144
Table 30.1. Scoreboard for Mexico,146
Table 31.1. Scoreboard for the Netherlands,148
Table 32.1. Scoreboard for Norway,151
Table 33.1. Scoreboard for the People’s Republic of China,153
Table 34.1. Scoreboard for Peru,155
Table 35.1. Scoreboard for Poland,158
Table 36.1. Scoreboard for Portugal,160
Table 37.1. Scoreboard for Serbia,162
Table 38.1. Scoreboard for the Slovak Republic,164
Table 39.1. Scoreboard for Slovenia,166
Table 40.1. Scoreboard for South Africa,169
Table 41.1. Scoreboard for Spain,172
Table 42.1. Scoreboard for Sweden,175
Table 43.1. Scoreboard for Switzerland,177
Table 44.1. Scoreboard for Thailand,179
Table 45.1. Scoreboard for Türkiye,182
Table 46.1. Scoreboard for Ukraine,185
Table 47.1. Scoreboard for the United Kingdom,187
Table 48.1. Scoreboard for the United States,189
"T
able A A.1. Preferred definitions for core indicators",191
Table A A.2. Scoreboard countries by groups,196
Table A A.3. Difference between national statistical and financial definitions of SMEs,200
Table A B.1. Differences in definitions between the sources used,216
BOXES,
Box 1. Recommendations for improving the reporting of core indicators,14
Box 1.1. Understanding the Scoreboard data on SME finance,27
Box 1.2. Patterns in new lending to SMEs in the context of higher interest rates,27
Box 1.3. Artificial Intelligence is driving a significant share of VC activity,38
Box 2.1. Examples of emerging funds focusing on women entrepreneurs,68
Box 2.2. Examples of emerging Funds focusing on deep-tech and green-tech / cleantech sectors,69
"B
ox A A.1. What is an SME?",199
Box A A.2. Fostering the collection of sex-disaggregated data within Scoreboard countries,213
