"0-Outstanding business loans, SMEs",1-GBP billion,Col2,Col3,Col4,5-189,6-176,7-166,8-167,9-164,10-166,11-165,12-166,13-168,14-213,15-209,16-197,17-184,18-179
"Outstanding business loans, total",GBP billion,,,,504,472,448,435,430,449,466,477,490,530,526,540,528,539
Share of SME outstanding loans,% of total outstanding business loans,,,,37.5,37.3,37.1,38.4,38.3,36.9,35.5,34.8,34.2,40.2,39.8,36.6,34.8,33.3
"New business lending, total",GBP billion,,,,,146,163,190,205,234,259,274,259,329,241,276,258,264
"New business lending, SMEs",GBP billion,,,,,38,43,53,58,59,57,58,57,105,58,65,59,62
Share of new SME lending,% of total new lending,,,,,26.1,26.4,28.2,28.2,25.3,22.2,21.1,22.0,31.9,23.9,23.6,22.9,23.5
"Government loan guarantees, SMEs",GBP million,,61,51,32,43,50,44,34,31,32,30,30,57 453,11 251,1 811,570,854
"Government guaranteed loans, SMEs",GBP million,,626,528,324,284,335,297,226,207,216,199,203,61 024,13 279,2 465,814,1 219
"Direct government loans, SMEs",GBP million,,,,,0.8,61.5,69.8,61.3,82.1,106.6,85.8,88.6,128.3,134.7,121.5,123.3,131.9
"Interest rate, SMEs",%,4.54,3.47,3.49,3.52,3.71,3.60,3.43,3.33,3.22,3.16,3.44,3.41,2.15,2.45,3.91,7.01,7.42
"Interest rate, large firms / PNFCs *",%,3.49,2.35,2.10,2.25,2.41,2.20,2.45,2.11,2.60,2.43,2.70,2.64,1.87,2.12,3.23,6.35,6.81
Interest rate spread,Percentage points,1.05,1.12,1.39,1.27,1.30,1.40,0.98,1.22,0.62,0.73,0.74,0.77,0.28,0.33,0.68,0.66,0.61
"Collateral, SMEs",% of SMEs needing collateral to obtain bank lending,,,,25,31,31,34,40,45,55,41,39,15,14,22,35,41
Percentage of SME loan applications,SME loan applications/ total number of SMEs,,,,7,6,4,5,4,3,2,2,2,6,7,3,2,3
Rejection rate,1-(SME loans authorised/ requested),,,,,31,32,23,18,19,20,24,25,16,15,44,53,52
