0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Indicator,,Unit,,2007  2008  2009  2010  2011  2012  2013  2014  2015  2016  2017  2018  2019  2020  2021  2022  2023  2024,,,,,,,,,,,,,,,,
,,,Debt,,,,,,,,,,,,,,,,,
"Outstanding business loans, SMEs. As of June 30  USD billion",,,687,616,604,569,530,523,519,524,534,551,589,626,638,887,800,,,
"Outstanding business loans, total. As of June 30",USD trillion,,2.24,2.51,2.45,2.26,2.3,2.48,2.65,2.8,2.97,3.21,3.35,3.5,3.69,4.24,3.93,4.2,4.29,4.33
Share of SME outstanding loans,% of total outstanding business loans,,,30.61  24.53  24.65  25.22  23.05  21.06  19.60  18.80  17.94  17.17  17.58  17.88  17.30  20.95  20.34,,,,,,,,,,,,,,,,
"New business lending, SMEs",USD: Index,,,118.6  94.7,74.2,80.7,,94.6  103.6  111.5  122.7  134.1  130.3  132.5  144.1  146.2  135.8  146.4  143.7  149.1  146.2,,,,,,,,,,,,
"Government loan guarantees, SMEs",USD billion,,67,71,73,77,84,88,93,98,101,106,113,120,122,639,453,179,152,155
"Government guaranteed loans, SMEs",Number of loans (thousands),,375,388,385,366,354,337,323,316,313,316,321,326,322,,5 389  6 445  1 425,,591,480
"Direct Government Loans, SMEs",USD billion,,,,,,,,,,,,,,,176,240,358,304,280
"Non-performing loans, total",% of all business loans,,1.22,1.88,3.91,3.46,2.01,1.34,1.00,0.80,0.87,1.57,1.34,1.03,1.11,1.24,1.09  1.06,,0.99,1.18
"Non-performing loans, SMEs",% of all SME loans,,2.14,2.62,3.24,2.62,1.90,1.44,1.21,1.22,1.22,1.28,1.34,1.41,1.55,1.87,1.37,1.29,1.63,1.76
"Interest rate, SMEs",%,,8.17,6.32,4.1,4.33,4.22,4,3.74,3.59,3.53,3.63,4.28,5.04,5.27,3.29,3.13,4.37,6.06,6.77
"Interest rate, all  firms*",%,,8.05,5.09,3.25,3.25,3.25,3.25,3.25,3.25,3.26,3.51,4.10,4.90,5.28,3.54,3.25,4.85,8.19,8.31
"Collateral, SMEs",,% of SMEs needing collateral to obtain bank lending,,,,,,,,,,,92.9,94.3,92.2,51.1,,,,
Percentage of SME loan applications,,Approved SME loan applications/ total number,,,,,,,,,,,55.2,64.7,66.6,62.3,64.1,63.4,62.8,64.8
,received,,,,,,,,,,,,,,,,,,,
Rejection rate,1-(SME loans approved/ received),,,,,,,,,,,,,35.3,33.4,37.7,35.9,36.6,37.2,35.2
Utilisation rate,SME loans used/ authorised,,,,,,,,,,,,,37.8,37.6,31.9,33.3,33.2,43.4,47.5
,,,,Non-bank finance,,,,,,,,,,,,,,,,
Venture and growth capital,USD billion,,38,37.2,27.7,31.9,45.3,41.6,49.7,74.1,86.7,84,,89.9  145.7  150.3  170.9,,,346,,246.3  170.6,209
Venture and growth capital (growth rate),"%, Year-on-year growth rate",,,-2.36,,-25.5  15.16  42.01  -8.17  19.47  49.09  17.00  -3.11  7.02  62.07  3.16  13.71  102.5  -28.8,,,,,,,,,,,,,,-30.7  22.51
